city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bogotá,4.6126,-74.0705,Colombia,CO,Bogotá,primary,9464000,7963000
Medellín,6.2447,-75.5748,Colombia,CO,Antioquia,admin,2529403,2529403
Cali,3.4400,-76.5197,Colombia,CO,Valle del Cauca,admin,2471474,2471474
Barranquilla,10.9600,-74.8000,Colombia,CO,Atlántico,admin,1798000,1244491
Cartagena,10.4236,-75.5253,Colombia,CO,Bolívar,admin,1036412,1036412
Cúcuta,7.9075,-72.5047,Colombia,CO,Norte de Santander,admin,750000,750000
Soledad,10.9200,-74.7700,Colombia,CO,Atlántico,minor,698852,342556
Bucaramanga,7.1186,-73.1161,Colombia,CO,Santander,admin,581130,581130
Pereira,4.8104,-75.6800,Colombia,CO,Risaralda,admin,568750,440118
Ibagué,4.4378,-75.2006,Colombia,CO,Tolima,admin,541101,541101
Villavicencio,4.1425,-73.6294,Colombia,CO,Meta,admin,527668,527668
Bello,6.3300,-75.5700,Colombia,CO,Antioquia,minor,519670,392939
Santa Marta,11.2361,-74.2017,Colombia,CO,Magdalena,admin,515556,515556
Valledupar,10.4603,-73.2597,Colombia,CO,Cesar,admin,490075,490075
Montería,8.7600,-75.8856,Colombia,CO,Córdoba,admin,460223,460223
Pasto,1.2136,-77.2811,Colombia,CO,Nariño,admin,382236,360041
Manizales,5.0600,-75.5200,Colombia,CO,Caldas,admin,375848,357814
Neiva,2.9275,-75.2875,Colombia,CO,Huila,admin,316033,316033
Armenia,4.5389,-75.6725,Colombia,CO,Quindío,admin,301226,301226
Popayán,2.4411,-76.6061,Colombia,CO,Cauca,admin,300837,300837
Sincelejo,9.2994,-75.3958,Colombia,CO,Sucre,admin,279031,279031
Buenaventura,3.8724,-77.0505,Colombia,CO,Valle del Cauca,minor,252805,240387
Barrancabermeja,7.0900,-73.8500,Colombia,CO,Santander,minor,191403,164201
Tunja,5.5403,-73.3614,Colombia,CO,Boyacá,admin,179263,179263
Ríohacha,11.5442,-72.9069,Colombia,CO,La Guajira,admin,167865,167865
Tuluá,4.0904,-76.2100,Colombia,CO,Valle del Cauca,minor,165501,163062
Florencia,1.6142,-75.6117,Colombia,CO,Caquetá,admin,143871,143871
Cartago,4.7500,-75.9100,Colombia,CO,Valle del Cauca,minor,134827,111513
Ciénaga,11.0104,-74.2500,Colombia,CO,Magdalena,minor,131171,88311
Quibdó,5.6923,-76.6582,Colombia,CO,Chocó,admin,130825,130825
Girardot,4.3100,-74.8100,Colombia,CO,Cundinamarca,minor,130289,113372
Sogamoso,5.7200,-72.9400,Colombia,CO,Boyacá,minor,126551,113592
Ipiales,0.8289,-77.6406,Colombia,CO,Nariño,minor,109116,109116
Duitama,5.8305,-73.0200,Colombia,CO,Boyacá,minor,101156,92040
Magangué,9.2300,-74.7400,Colombia,CO,Bolívar,minor,100313,89511
Arauca,7.0903,-70.7617,Colombia,CO,Arauca,admin,96814,96814
Tumaco,1.8100,-78.8100,Colombia,CO,Nariño,minor,86713,86713
